DATA,STAGIONE,ANNO,STATO_RESIDENZA,Totale
200507,ESTATE,2005,IRLANDA,2024.61881188
200507,ESTATE,2005,MESSICO,2135.94065854
200507,ESTATE,2005,NORVEGIA,2215.95892701
200507,ESTATE,2005,OLANDA,1309.61327769
200507,ESTATE,2005,POLONIA,1358.16296067
200507,ESTATE,2005,PORTOGALLO,931.032258065
200507,ESTATE,2005,REGNO UNITO,1563.25024988
200507,ESTATE,2005,ROMANIA,1607.19001775
200507,ESTATE,2005,RUSSIA,1785.91692308
200507,ESTATE,2005,"SLOVACCA, REPUBBLICA",1225.98554545
200507,ESTATE,2005,SLOVENIA,87.7500771429
200507,ESTATE,2005,SPAGNA,1225.17136029
200507,ESTATE,2005,STATI UNITI D'AMERICA,2331.97784054
200507,ESTATE,2005,SVEZIA,1659.42947514
200507,ESTATE,2005,SVIZZERA,694.457501144
200507,ESTATE,2005,UNGHERIA,1009.61351304
200508,ESTATE,2005,ARGENTINA,1991.53415054
200508,ESTATE,2005,AUSTRALIA,2571.82231407
200508,ESTATE,2005,AUSTRIA,850.752192623
200508,ESTATE,2005,BELGIO,1563.15895683
200508,ESTATE,2005,BRASILE,2666.05165185
200508,ESTATE,2005,CANADA,2097.06227273
200508,ESTATE,2005,"CECA, REPUBBLICA",940.534190476
200508,ESTATE,2005,CINA REP.POP.,1818.91285106
200508,ESTATE,2005,DANIMARCA,1355.47182105
200508,ESTATE,2005,FINLANDIA,1128.4475
200508,ESTATE,2005,FRANCIA,1175.79625598
200508,ESTATE,2005,GERMANIA,1146.84829991
200508,ESTATE,2005,GIAPPONE,2137.67834586
200508,ESTATE,2005,GRECIA,966.714415584
200508,ESTATE,2005,INDIA,883.0528125
200508,ESTATE,2005,IRLANDA,1895.27125
200508,ESTATE,2005,MESSICO,2386.17301961
200508,ESTATE,2005,NORVEGIA,2097.89342105
200508,ESTATE,2005,OLANDA,1434.2484456
200508,ESTATE,2005,POLONIA,1450.8847967
200508,ESTATE,2005,PORTOGALLO,963.92961039
200508,ESTATE,2005,REGNO UNITO,1449.06157421
200508,ESTATE,2005,ROMANIA,1567.95821557
200508,ESTATE,2005,RUSSIA,2366.70038835
200508,ESTATE,2005,"SLOVACCA, REPUBBLICA",1382.73129545
200508,ESTATE,2005,SLOVENIA,79.935309973
200508,ESTATE,2005,SPAGNA,1400.11642195
200508,ESTATE,2005,STATI UNITI D'AMERICA,2413.50550982
200508,ESTATE,2005,SVEZIA,1696.17919048
200508,ESTATE,2005,SVIZZERA,781.625511487
200508,ESTATE,2005,UNGHERIA,897.198110345
200509,AUTUNNO,2005,ARGENTINA,1947.93357658
200509,AUTUNNO,2005,AUSTRALIA,2579.68151737
200509,AUTUNNO,2005,AUSTRIA,934.265470297
200509,AUTUNNO,2005,BELGIO,1192.65466102
200509,AUTUNNO,2005,BRASILE,2204.95184444
200509,AUTUNNO,2005,CANADA,2495.59841077
200509,AUTUNNO,2005,"CECA, REPUBBLICA",694.005797297
200509,AUTUNNO,2005,CINA REP.POP.,2282.432
200509,AUTUNNO,2005,DANIMARCA,1469.30333333
200509,AUTUNNO,2005,FINLANDIA,1558.76826087
200509,AUTUNNO,2005,FRANCIA,1146.64949779
200509,AUTUNNO,2005,GERMANIA,1098.34313775
200509,AUTUNNO,2005,GIAPPONE,2739.25660625
200509,AUTUNNO,2005,GRECIA,1276.81017241
200509,AUTUNNO,2005,INDIA,1274.69612658
200509,AUTUNNO,2005,IRLANDA,1977.27994558
200509,AUTUNNO,2005,MESSICO,3037.99958333
200509,AUTUNNO,2005,NORVEGIA,1882.18879762
200509,AUTUNNO,2005,OLANDA,1287.69568675
200509,AUTUNNO,2005,POLONIA,1498.71607895
200509,AUTUNNO,2005,PORTOGALLO,1101.01487179
200509,AUTUNNO,2005,REGNO UNITO,1246.6618647
200509,AUTUNNO,2005,ROMANIA,1681.54937008
200509,AUTUNNO,2005,RUSSIA,1873.22305085
200509,AUTUNNO,2005,"SLOVACCA, REPUBBLICA",1463.44171429
200509,AUTUNNO,2005,SLOVENIA,122.128279883
200509,AUTUNNO,2005,SPAGNA,1224.43879767
200509,AUTUNNO,2005,STATI UNITI D'AMERICA,3157.36462078
200509,AUTUNNO,2005,SVEZIA,1596.1337479
200509,AUTUNNO,2005,SVIZZERA,853.224088496
200509,AUTUNNO,2005,UNGHERIA,938.569911504
200510,AUTUNNO,2005,ARGENTINA,2336.29631183
200510,AUTUNNO,2005,AUSTRALIA,2951.39162287
200510,AUTUNNO,2005,AUSTRIA,1130.2701773
200510,AUTUNNO,2005,BELGIO,974.171006289
200510,AUTUNNO,2005,BRASILE,2749.8659
